electricity_cost,billing_periods,heated_square_footage,engineered_total_square_footage,heating_degree_days,cooling_degree_days,NUMFRIG,NUMFREEZ,NUMLAPTOP,NUMTABLET,NUMSMPHONE,NUMCFAN,NUMFLOORFAN,NUMWWAC,NUMPORTAC,NUMMEAL,state_postal,BA_climate,IECC_climate_code,KOWNRENT,home_size,num_appliances,temp_hdd,temp_cdd,temp_degree_days,bill_amount,bill_per_period,month_periods,log_bill_amount
545.22,1,2650,2650,5467,909,1,0,0,0,1,1,0,0.0,0.0,3,OH,Cold,5A,1,2650,6.0,5467,909,6376,545.22,545.22,1,6.301189382935311
1048.97,1,3300,3300,7333,709,1,0,1,2,1,1,0,1.0,0.0,3,VT,Cold,6A,1,3300,10.0,7333,709,8042,1048.97,1048.97,1,6.955564009321952
969.53,1,6370,6370,6116,1108,1,0,0,1,1,5,0,0.0,0.0,2,NE,Cold,5A,1,6370,10.0,6116,1108,7224,969.53,969.53,1,6.876811417989414
3451.63,1,1950,1950,3518,1405,2,1,7,4,5,2,5,0.0,1.0,1,VA,Mixed-Humid,4A,1,1950,28.0,3518,1405,4923,3451.63,3451.63,1,8.146601862217658
1242.51,1,1200,1200,1785,2300,1,0,1,2,2,2,0,0.0,0.0,2,GA,Hot-Humid,3A,2,1200,10.0,1785,2300,4085,1242.51,1242.51,1,7.124888806228135
1021.3,1,330,1150,2022,434,1,0,1,1,3,0,4,0.0,0.0,3,CA,Marine,3C,1,330,13.0,2022,434,2456,1021.3,1021.3,1,6.928831604584053
1573.39,1,0,860,2002,2264,1,0,1,1,2,0,0,2.0,0.0,1,SC,Mixed-Humid,3A,2,0,8.0,2002,2264,4266,1573.39,1573.39,1,7.360987806212049
3112.86,1,1200,1200,1849,2806,1,0,2,2,3,4,1,2.0,0.0,1,TX,Hot-Humid,3A,1,1200,16.0,1849,2806,4655,3112.86,3112.86,1,8.043297196735157
1170.35,1,1800,1800,2690,1725,3,2,1,0,0,2,0,0.0,0.0,1,NC,Mixed-Humid,3A,2,1800,9.0,2690,1725,4415,1170.35,1170.35,1,7.065058128355913
1140.56,1,1000,1000,5590,568,2,1,0,0,0,1,0,0.0,0.0,2,WA,Cold,5B,1,1000,6.0,5590,568,6158,1140.56,1140.56,1,7.039274648845706
1784.96,1,1550,1550,2171,780,2,0,2,0,4,1,0,0.0,0.0,3,CA,Marine,3C,1,1550,12.0,2171,780,2951,1784.96,1784.96,1,7.48715128499907
561.98,1,1400,1400,6731,670,1,1,2,2,2,3,0,0.0,0.0,3,MI,Cold,5A,1,1400,14.0,6731,670,7401,561.98,561.98,1,6.33146626207184
502.51,1,780,780,4317,1315,1,0,2,1,1,1,1,1.0,0.0,2,NJ,Mixed-Humid,4A,2,780,10.0,4317,1315,5632,502.51,502.51,1,6.219615540232731
3086.55,5,2300,2300,2728,2506,1,2,1,2,4,0,1,0.0,0.0,1,NM,Hot-Dry,3B,1,2300,12.0,2728,2506,5234,3086.55,617.3100000000001,5,8.03480924128155
5754.9,1,3500,3500,4398,1251,2,0,3,1,4,3,0,0.0,0.0,3,NJ,Mixed-Humid,4A,1,3500,16.0,4398,1251,5649,5754.9,5754.9,1,8.657806944810401
3346.85,1,1350,1350,3563,1498,1,1,2,1,2,7,0,2.0,0.0,2,MD,Mixed-Humid,4A,1,1350,18.0,3563,1498,5061,3346.85,3346.85,1,8.115774883953687
1249.07,1,2190,2190,5433,843,1,0,2,3,4,5,2,3.0,0.0,2,MA,Cold,5A,1,2190,22.0,5433,843,6276,1249.07,1249.07,1,7.130154553390994
2434.91,1,4100,4100,7079,656,2,0,4,0,4,6,0,0.0,0.0,2,WI,Cold,6A,1,4100,18.0,7079,656,7735,2434.91,2434.91,1,7.797665073847989
805.2,1,710,710,1114,3489,1,0,0,1,1,0,0,0.0,0.0,1,TX,Hot-Humid,2A,2,710,4.0,1114,3489,4603,805.2,805.2,1,6.691090693765636
4264.71,1,5000,5000,1076,2054,2,0,0,2,2,0,0,0.0,0.0,2,CA,Hot-Dry,3B,1,5000,8.0,1076,2054,3130,4264.71,4264.71,1,8.358129462303326
1151.8,1,1040,1040,4465,1221,1,0,0,0,0,0,0,0.0,0.0,5,NJ,Mixed-Humid,4A,1,1040,6.0,4465,1221,5686,1151.8,1151.8,1,7.049081215072572
867.67,1,1900,1900,5472,1019,2,0,2,0,0,2,0,0.0,0.0,2,CO,Cold,5B,1,1900,8.0,5472,1019,6491,867.67,867.67,1,6.765811458040167
989.58,1,2720,2720,7032,517,1,0,1,0,2,1,0,1.0,0.0,2,ME,Cold,6A,1,2720,8.0,7032,517,7549,989.58,989.58,1,6.8972806106881155
1825.23,5,2100,2630,5909,842,2,1,4,5,3,2,0,0.0,0.0,2,MA,Cold,5A,1,2100,19.0,5909,842,6751,1825.23,365.046,5,7.5094612854730665
980.53,3,2160,2160,4150,1225,1,0,1,1,1,0,1,0.0,0.0,5,VA,Mixed-Humid,4A,1,2160,10.0,4150,1225,5375,980.53,326.8433333333333,3,6.888093241802704
3200.48,5,4300,6450,2638,2281,2,1,2,2,2,10,0,0.0,0.0,3,TX,Mixed-Humid,3A,1,4300,22.0,2638,2281,4919,3200.48,640.096,5,8.071056077538943
